gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical NKT cells	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BC7CD11B	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.0	0.05	0.048	0.06	0.045	0.043	0.0	0.078	0.061	0.003	0.026	0.087
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.0	0.0	0.0	0.007	0.001	0.002	0.0	0.001	0.0	0.003	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.0	0.0	0.0	0.007	0.001	0.002	0.0	0.001	0.0	0.003	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.0	0.05	0.048	0.06	0.045	0.043	0.0	0.078	0.061	0.003	0.026	0.087
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0CB4F2FE4	0.0	0.05	0.048	0.06	0.045	0.043	0.0	0.078	0.061	0.003	0.026	0.087
XCL1	P47992	False	XCL1_HUMAN		CPI-SS023ABAE18	0.342	0.148	0.528	0.549	0.251	0.129	0.202	0.285	0.231	0.002	0.666	0.105
IFNE	Q86WN2	False	IFNE_HUMAN		CPI-SS03D887978	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MDK	P21741	False	MK_HUMAN		CPI-SS012AFC842	0.0	0.0	0.0	0.007	0.001	0.002	0.0	0.001	0.0	0.003	0.0	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0193C3064	0.0	0.04	0.012	0.002	0.025	0.026	0.0	0.031	0.006	0.006	0.0	0.042
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS05550A895	0.0	0.009	0.0	0.002	0.002	0.012	0.0	0.004	0.005	0.009	0.0	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS00A6240B6	0.0	0.04	0.012	0.002	0.025	0.026	0.0	0.031	0.006	0.006	0.0	0.042
WNT1	P04628	False	WNT1_HUMAN		CPI-SS014B0FCD2	0.0	0.04	0.012	0.002	0.025	0.026	0.0	0.031	0.006	0.006	0.0	0.042
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.0	0.182	0.053	0.198	0.093	0.176	0.134	0.158	0.153	0.12	0.087	0.148
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.18	0.029	0.017	0.018	0.023	0.021	0.061	0.037	0.041	0.02	0.0	0.026
TNFRSF10C	O14798	False	TR10C_HUMAN		CPI-SS01ECFDA18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	0.0	0.004	0.006	0.007	0.017	0.01	0.105	0.01	0.01	0.007	0.025	0.013
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.0	0.004	0.006	0.007	0.017	0.01	0.105	0.01	0.01	0.007	0.025	0.013
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS038E93B77	0.0	0.004	0.006	0.007	0.017	0.01	0.105	0.01	0.01	0.007	0.025	0.013
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0907A7598	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06A0B20BD	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.0	0.003	0.0	0.002	0.001	0.005	0.0	0.001	0.0	0.027	0.0	0.004
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	0.0	0.007	0.013	0.013	0.009	0.014	0.0	0.005	0.009	0.012	0.0	0.007
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.156	0.026	0.031	0.021	0.03	0.024	0.0	0.021	0.029	0.023	0.0	0.02
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.001	0.0	0.0	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS00D9A0644	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS02E314589	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
CD96	P40200	False	TACT_HUMAN		CPI-SS03F821467	0.387	0.94	0.564	0.619	0.556	0.72	0.656	0.641	0.632	0.594	0.791	0.755
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0CC898553	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS098F416C1	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0D8972B21	0.0	0.04	0.012	0.002	0.025	0.026	0.0	0.031	0.006	0.006	0.0	0.042
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS01469637C	0.0	0.004	0.0	0.0	0.003	0.003	0.0	0.003	0.0	0.001	0.0	0.002
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.0	0.014	0.005	0.009	0.002	0.005	0.0	0.004	0.0	0.013	0.019	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.0	0.014	0.005	0.009	0.002	0.005	0.0	0.004	0.0	0.013	0.019	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.005	0.0	0.0
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.003
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.0	0.0	0.031	0.013	0.02	0.009	0.0	0.01	0.033	0.007	0.091	0.014
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0C0A61F92	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.005	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS03156A825	0.0	0.143	0.057	0.093	0.053	0.132	0.04	0.068	0.095	0.216	0.103	0.104
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0859C173B	0.39	0.088	0.289	0.074	0.274	0.118	0.238	0.216	0.335	0.022	0.169	0.412
LTA	P01374	False	TNFB_HUMAN		CPI-SS0110361CB	0.0	0.143	0.057	0.093	0.053	0.132	0.04	0.068	0.095	0.216	0.103	0.104
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0C28FEC7D	0.0	0.003	0.0	0.0	0.002	0.0	0.032	0.001	0.0	0.02	0.0	0.0
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS019C98396	0.39	0.088	0.289	0.074	0.274	0.118	0.238	0.216	0.335	0.022	0.169	0.412
CD160	O95971	False	BY55_HUMAN		CPI-SS0879B8E95	0.0	0.208	0.808	0.144	0.195	0.066	0.222	0.317	0.324	0.002	0.857	0.261
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	1.944	1.868	1.717	1.912	1.519	1.807	2.173	1.756	1.569	1.651	1.583	1.845
BTLA	Q7Z6A9	False	BTLA_HUMAN		CPI-SS08330207B	0.156	0.112	0.007	0.011	0.044	0.09	0.026	0.064	0.062	0.101	0.0	0.062
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS095E52E66	0.0	0.145	0.143	0.204	0.141	0.282	0.353	0.193	0.255	0.087	0.288	0.205
MIF	P14174	False	MIF_HUMAN		CPI-SS059EEFDC6	1.944	1.868	1.717	1.912	1.519	1.807	2.173	1.756	1.569	1.651	1.583	1.845
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS0A81A3626	0.0	0.009	0.0	0.002	0.002	0.012	0.0	0.004	0.005	0.009	0.0	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	0.0	0.003	0.0	0.002	0.001	0.005	0.0	0.001	0.0	0.027	0.0	0.004
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS09CA492BA	0.0	0.003	0.0	0.002	0.001	0.005	0.0	0.001	0.0	0.027	0.0	0.004
ADM	P35318	False	ADML_HUMAN		CPI-SS0522A6CFA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002
POMC	P01189	False	COLI_HUMAN		CPI-SS00BD8FF72	0.0	0.111	0.126	0.111	0.1	0.137	0.183	0.123	0.183	0.109	0.213	0.101
CXCR6	O00574	False	CXCR6_HUMAN		CPI-SS00F282936	0.0	0.035	0.132	0.016	0.074	0.027	0.084	0.221	0.332	0.005	0.068	0.776
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS04318D03E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0AFE077D8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0AE4CF4E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0
GPR75	O95800	False	GPR75_HUMAN		CPI-SS0DA291AD9	0.0	0.002	0.0	0.0	0.0	0.001	0.034	0.0	0.005	0.0	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS073B0CE7A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS045A5FC60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS059CC19A3	0.0	0.0	0.018	0.002	0.015	0.003	0.0	0.01	0.01	0.0	0.028	0.225
CCR3	P51677	False	CCR3_HUMAN		CPI-SS0FA7A69D9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS091B461CB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0
CCR3	P51677	False	CCR3_HUMAN		CPI-SS05B92CCC4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CCR10	P46092	False	CCR10_HUMAN		CPI-SS064C772FE	0.0	0.009	0.004	0.047	0.003	0.053	0.027	0.007	0.033	0.001	0.0	0.002
PODXL	O00592	False	PODXL_HUMAN		CPI-SS08920B6FF	0.0	0.008	0.006	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0
OXT	P01178	False	NEU1_HUMAN		CPI-SS04B547174	0.0	0.008	0.004	0.005	0.003	0.009	0.0	0.005	0.005	0.018	0.0	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.0	0.013	0.004	0.007	0.012	0.003	0.049	0.006	0.0	0.007	0.031	0.006
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS027AFFC0E	0.258	0.146	0.805	1.509	0.371	0.422	0.49	0.441	0.368	0.167	0.9	1.282
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS0F94547B2	0.258	0.146	0.805	1.509	0.371	0.422	0.49	0.441	0.368	0.167	0.9	1.282
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.0	0.015	0.009	0.018	0.023	0.018	0.0	0.02	0.018	0.012	0.0	0.02
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.0	0.0	0.014	0.006	0.015	0.005	0.0	0.042	0.046	0.0	0.0	0.061
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.0	0.082	0.055	0.039	0.035	0.056	0.082	0.042	0.03	0.08	0.0	0.039
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.0	0.082	0.055	0.039	0.035	0.056	0.082	0.042	0.03	0.08	0.0	0.039
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.002	0.0	0.0
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.0	0.084	0.093	0.245	0.067	0.107	0.029	0.094	0.038	0.005	0.124	0.075
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.0	0.048	0.004	0.011	0.001	0.044	0.0	0.004	0.0	0.097	0.0	0.0
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0BEAB521F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.0	0.048	0.004	0.011	0.001	0.044	0.0	0.004	0.0	0.097	0.0	0.0
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0AB0604B5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.0	0.048	0.004	0.011	0.001	0.044	0.0	0.004	0.0	0.097	0.0	0.0
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS041888D39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
VGF	O15240	False	VGF_HUMAN		CPI-SS04C396C5D	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.003
GRIN2D	O15399	False	NMDE4_HUMAN		CPI-SS0A915097A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.012	0.017	0.004	0.011	0.006	0.0	0.013	0.017	0.001	0.0	0.006
CSF1	P09603	False	CSF1_HUMAN		CPI-SS086615F9B	0.0	0.012	0.017	0.004	0.011	0.006	0.0	0.013	0.017	0.001	0.0	0.006
TBXA2R	P21731	False	TA2R_HUMAN		CPI-SS042EB8C7A	0.0	0.041	0.0	0.027	0.002	0.026	0.0	0.004	0.0	0.092	0.0	0.0
PTGER3	P43115	False	PE2R3_HUMAN		CPI-SS043E0F61D	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
PTGIR	P43119	False	PI2R_HUMAN		CPI-SS05D406038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.156	0.056	0.138	0.099	0.085	0.06	0.116	0.073	0.087	0.058	0.078	0.13
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.156	0.056	0.138	0.099	0.085	0.06	0.116	0.073	0.087	0.058	0.078	0.13
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0B9DC75DD	0.39	0.088	0.289	0.074	0.274	0.118	0.238	0.216	0.335	0.022	0.169	0.412
CD70	P32970	False	CD70_HUMAN		CPI-SS08A819670	0.195	0.004	0.025	0.004	0.033	0.012	0.0	0.026	0.087	0.002	0.0	0.029
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.0	0.026	0.031	0.013	0.02	0.024	0.0	0.034	0.048	0.022	0.024	0.043
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.015	0.0	0.0
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS03E273233	0.0	0.13	0.132	0.179	0.112	0.155	0.096	0.176	0.168	0.179	0.072	0.173
ADORA2B	P29275	False	AA2BR_HUMAN		CPI-SS079728E8B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.0	0.0	0.004	0.002	0.002	0.0	0.022	0.001	0.0	0.004	0.0	0.002
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.0	0.0	0.004	0.002	0.002	0.0	0.022	0.001	0.0	0.004	0.0	0.002
TG	P01266	False	THYG_HUMAN		CPI-SS01963C4CA	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0431D2256	0.0	0.002	0.005	0.0	0.001	0.0	0.0	0.004	0.0	0.0	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS047CD2E9F	0.0	0.002	0.005	0.0	0.001	0.0	0.0	0.004	0.0	0.0	0.0	0.0
CD2	P06729	False	CD2_HUMAN		CPI-SS00B1BEE64	2.187	1.262	1.182	0.849	1.683	1.371	1.689	1.576	1.868	0.922	1.067	1.412
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
CD55	P08174	False	DAF_HUMAN		CPI-SS061A7E099	0.0	0.678	0.183	0.292	0.188	0.376	0.173	0.205	0.214	0.711	0.275	0.284
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0CBC7840D	2.927	2.34	2.82	2.604	2.906	2.423	2.672	2.738	2.857	2.197	2.789	2.55
CD48	P09326	False	CD48_HUMAN		CPI-SS056FF4363	1.495	2.008	1.725	1.599	1.807	1.887	1.334	1.828	1.783	1.895	1.696	1.917
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS0D954EA1C	0.321	0.0	0.015	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.049	0.0
ALOX5	P09917	False	LOX5_HUMAN		CPI-SS080611C5B	0.0	0.033	0.0	0.003	0.0	0.008	0.0	0.001	0.005	0.002	0.0	0.0
CD28	P10747	False	CD28_HUMAN		CPI-SS077D7365D	0.0	0.178	0.023	0.044	0.051	0.311	0.293	0.384	0.337	0.22	0.0	0.466
CTLA4	P16410	False	CTLA4_HUMAN		CPI-SS0B0E09B1C	0.187	0.0	0.0	0.0	0.01	0.008	0.024	0.006	0.047	0.004	0.017	0.008
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS03EF699C7	3.119	2.78	3.064	3.091	3.152	2.892	2.781	3.038	3.009	2.746	3.169	2.952
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS0C4FA643F	3.119	2.78	3.064	3.091	3.152	2.892	2.781	3.038	3.009	2.746	3.169	2.952
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS03339363E	3.119	2.78	3.064	3.091	3.152	2.892	2.781	3.038	3.009	2.746	3.169	2.952
SELL	P14151	False	LYAM1_HUMAN		CPI-SS0EB5AEC83	0.281	0.086	0.722	0.567	0.433	0.965	0.71	0.756	0.614	1.891	0.532	0.415
SELP	P16109	False	LYAM3_HUMAN		CPI-SS015E1E2C6	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.001	0.006	0.002	0.0	0.0
SELL	P14151	False	LYAM1_HUMAN		CPI-SS087321EB5	0.281	0.086	0.722	0.567	0.433	0.965	0.71	0.756	0.614	1.891	0.532	0.415
SELP	P16109	False	LYAM3_HUMAN		CPI-SS02B7540B0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.001	0.006	0.002	0.0	0.0
SELP	P16109	False	LYAM3_HUMAN		CPI-SS06ABF2F5A	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.001	0.006	0.002	0.0	0.0
CD99	P14209	False	CD99_HUMAN		CPI-SS01560CA22	2.38	1.421	2.143	2.006	2.187	1.665	2.025	1.89	2.106	0.5	2.26	1.616
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS0E0DEA7D5	0.312	0.347	0.437	0.275	0.258	0.224	0.438	0.396	0.301	0.448	0.305	0.295
C5AR1	P21730	False	C5AR1_HUMAN		CPI-SS01946BE5C	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.002
TNFSF4	P23510	False	TNFL4_HUMAN		CPI-SS04456F441	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.002	0.006	0.003	0.0	0.004
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS05E63FBEC	0.14	0.0	0.038	0.0	0.026	0.001	0.027	0.0	0.0	0.001	0.104	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS087BD262F	0.0	0.0	0.061	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.565	0.0
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS0C7012011	0.14	0.0	0.038	0.0	0.026	0.001	0.027	0.0	0.0	0.001	0.104	0.0
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	1.418	0.56	0.254	0.418	0.642	0.623	0.481	0.565	0.631	0.53	0.366	0.625
IL15	P40933	False	IL15_HUMAN		CPI-SS077B160B9	0.0	0.052	0.036	0.037	0.029	0.035	0.092	0.036	0.051	0.002	0.026	0.044
TYRO3	Q06418	False	TYRO3_HUMAN		CPI-SS085195142	0.0	0.0	0.0	0.0	0.001	0.0	0.023	0.001	0.0	0.0	0.0	0.004
CD52	P31358	False	CD52_HUMAN		CPI-SS073C1B796	3.652	2.947	2.829	3.13	3.049	2.851	2.857	2.607	3.075	2.493	1.984	2.752
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SS0E5593D5C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.005	0.0	0.039	0.0
LTBR	P36941	False	TNR3_HUMAN		CPI-SS06CBC985C	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0
NMU	P48645	False	NMU_HUMAN		CPI-SS018BD4882	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008
LILRA4	P59901	False	LIRA4_HUMAN		CPI-SS095DCA7F7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
DSC1	Q08554	False	DSC1_HUMAN		CPI-SS08B94BEB2	0.0	0.0	0.0	0.001	0.001	0.001	0.0	0.002	0.0	0.03	0.0	0.0
CD47	Q08722	False	CD47_HUMAN		CPI-SS0E9015902	0.688	0.609	0.63	0.58	0.786	0.624	0.687	0.691	0.767	0.497	0.777	0.717
GPR19	Q15760	False	GPR19_HUMAN		CPI-SS07DFEBFA8	0.0	0.007	0.003	0.002	0.001	0.007	0.0	0.005	0.015	0.001	0.0	0.005
LAIR1	Q6GTX8	False	LAIR1_HUMAN		CPI-SS067BA9202	0.335	0.262	0.293	0.372	0.265	0.169	0.175	0.164	0.165	0.204	0.476	0.237
PROKR2	Q8NFJ6	False	PKR2_HUMAN		CPI-SS027E57635	0.0	0.002	0.0	0.016	0.001	0.002	0.0	0.002	0.004	0.0	0.0	0.0
CLEC2B	Q92478	False	CLC2B_HUMAN		CPI-SS025C8F785	0.994	0.653	0.986	0.502	1.021	0.564	0.671	0.899	1.132	0.433	0.884	0.843
EDA	Q92838	False	EDA_HUMAN		CPI-SS00797FD15	0.0	0.003	0.0	0.072	0.001	0.026	0.0	0.003	0.006	0.009	0.0	0.013
EDA	Q92838	False	EDA_HUMAN		CPI-SS05A8552D7	0.0	0.003	0.0	0.072	0.001	0.026	0.0	0.003	0.006	0.009	0.0	0.013
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	0.0	0.011	0.0	0.002	0.001	0.002	0.0	0.001	0.0	0.005	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS028784FC6	0.0	0.002	0.005	0.0	0.001	0.0	0.0	0.004	0.0	0.0	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS00A8596B5	0.0	0.002	0.005	0.0	0.001	0.0	0.0	0.004	0.0	0.0	0.0	0.0
CD96	P40200	False	TACT_HUMAN		CPI-SS0B84DAE3D	0.387	0.94	0.564	0.619	0.556	0.72	0.656	0.641	0.632	0.594	0.791	0.755
CD226	Q15762	False	CD226_HUMAN		CPI-SS0A8627ED6	0.537	0.22	0.11	0.102	0.273	0.223	0.2	0.106	0.218	0.086	0.28	0.156
