gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical_NKT_cells	CD8+_CD73+_regulatory_T_cells	CD8+_NK-like_TEMRA_cells	CD8+_NK-like_early_effector_T_cells	CD8+_TEMRA_cells	CD8+_central_memory_T_cells	CD8+_cycling_effector_T_cells	CD8+_effector_memory_T_cells_1	CD8+_effector_memory_T_cells_2	CD8+_naive_T_cells	Gamma_Delta_T_cells	MAIT_cells
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.0	0.0	0.007	0.008	0.004	0.003	0.0	0.004	0.009	0.004	0.014	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.013	0.0	0.03	0.019	0.023	0.004	0.0	0.05	0.011	0.007	0.015	0.026
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0CB4F2FE4	0.013	0.0	0.03	0.019	0.023	0.004	0.0	0.05	0.011	0.007	0.015	0.026
XCL1	P47992	False	XCL1_HUMAN		CPI-SS023ABAE18	0.086	0.174	0.463	0.139	0.236	0.003	0.202	0.166	0.193	0.001	0.417	0.037
IFNE	Q86WN2	False	IFNE_HUMAN		CPI-SS03D887978	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0193C3064	0.007	0.021	0.008	0.0	0.013	0.009	0.029	0.011	0.019	0.006	0.0	0.044
WNT1	P04628	False	WNT1_HUMAN		CPI-SS00A6240B6	0.007	0.021	0.008	0.0	0.013	0.009	0.029	0.011	0.019	0.006	0.0	0.044
WNT1	P04628	False	WNT1_HUMAN		CPI-SS014B0FCD2	0.007	0.021	0.008	0.0	0.013	0.009	0.029	0.011	0.019	0.006	0.0	0.044
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.031	0.155	0.028	0.103	0.038	0.108	0.041	0.109	0.045	0.11	0.027	0.111
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.009	0.026	0.025	0.014	0.02	0.017	0.028	0.021	0.01	0.019	0.0	0.014
TNFRSF10C	O14798	False	TR10C_HUMAN		CPI-SS01ECFDA18	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.003	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0E0BCE16F	0.008	0.038	0.012	0.009	0.008	0.029	0.02	0.013	0.006	0.01	0.0	0.032
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	0.008	0.038	0.012	0.009	0.008	0.029	0.02	0.013	0.006	0.01	0.0	0.032
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.008	0.038	0.012	0.009	0.008	0.029	0.02	0.013	0.006	0.01	0.0	0.032
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS038E93B77	0.008	0.038	0.012	0.009	0.008	0.029	0.02	0.013	0.006	0.01	0.0	0.032
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0649EA05F	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0BF490275	0.008	0.038	0.012	0.009	0.008	0.029	0.02	0.013	0.006	0.01	0.0	0.032
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.0	0.0	0.0	0.0	0.003	0.003	0.0	0.0	0.0	0.017	0.0	0.004
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	0.0	0.007	0.004	0.007	0.008	0.004	0.0	0.007	0.0	0.011	0.022	0.005
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.042	0.046	0.026	0.015	0.021	0.028	0.039	0.02	0.016	0.014	0.0	0.038
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.035	0.0	0.002	0.0	0.016	0.0	0.0	0.0	0.011	0.0	0.032	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0816A4ED4	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CD96	P40200	False	TACT_HUMAN		CPI-SS03F821467	0.427	0.715	0.529	0.588	0.52	0.558	0.658	0.56	0.65	0.487	0.443	0.692
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0658257AC	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0EB136379	0.007	0.021	0.008	0.0	0.013	0.009	0.029	0.011	0.019	0.006	0.0	0.044
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0D8972B21	0.007	0.021	0.008	0.0	0.013	0.009	0.029	0.011	0.019	0.006	0.0	0.044
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS01469637C	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.003	0.0	0.004
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.0	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.0	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	0.008	0.0	0.0	0.01	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.0
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.008	0.015	0.031	0.009	0.016	0.011	0.038	0.013	0.028	0.001	0.036	0.029
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0C0A61F92	0.008	0.0	0.0	0.01	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS03156A825	0.045	0.18	0.079	0.197	0.075	0.175	0.014	0.075	0.076	0.221	0.107	0.144
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0859C173B	0.042	0.052	0.19	0.104	0.184	0.069	0.047	0.162	0.162	0.022	0.157	0.446
LTA	P01374	False	TNFB_HUMAN		CPI-SS0110361CB	0.045	0.18	0.079	0.197	0.075	0.175	0.014	0.075	0.076	0.221	0.107	0.144
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0C28FEC7D	0.0	0.0	0.006	0.0	0.004	0.002	0.0	0.001	0.0	0.006	0.0	0.0
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS019C98396	0.042	0.052	0.19	0.104	0.184	0.069	0.047	0.162	0.162	0.022	0.157	0.446
CD160	O95971	False	BY55_HUMAN		CPI-SS0879B8E95	0.0	0.029	0.678	0.019	0.226	0.0	0.266	0.146	0.177	0.001	0.528	0.333
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	1.539	1.948	1.825	2.101	1.718	2.07	2.08	1.795	1.743	1.81	1.483	1.933
BTLA	Q7Z6A9	False	BTLA_HUMAN		CPI-SS08330207B	0.0	0.081	0.012	0.051	0.03	0.064	0.0	0.022	0.027	0.069	0.012	0.093
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS095E52E66	0.16	0.136	0.186	0.474	0.133	0.544	0.391	0.252	0.355	0.176	0.19	0.351
MIF	P14174	False	MIF_HUMAN		CPI-SS059EEFDC6	1.539	1.948	1.825	2.101	1.718	2.07	2.08	1.795	1.743	1.81	1.483	1.933
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS0A81A3626	0.0	0.016	0.0	0.054	0.0	0.045	0.0	0.009	0.0	0.027	0.0	0.004
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	0.0	0.0	0.0	0.0	0.003	0.003	0.0	0.0	0.0	0.017	0.0	0.004
CORT	O00230	False	CORT_HUMAN		CPI-SS00E5D7E39	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS08C88D297	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
ADM	P35318	False	ADML_HUMAN		CPI-SS0522A6CFA	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
POMC	P01189	False	COLI_HUMAN		CPI-SS00BD8FF72	0.099	0.095	0.189	0.034	0.132	0.046	0.241	0.089	0.104	0.069	0.126	0.098
SCGB3A1	Q96QR1	False	SG3A1_HUMAN		CPI-SS0DF5E47DB	0.0	0.0	0.0	0.013	0.0	0.006	0.014	0.027	0.041	0.024	0.0	0.167
CXCR6	O00574	False	CXCR6_HUMAN		CPI-SS00F282936	0.0	0.028	0.101	0.034	0.034	0.0	0.182	0.181	0.272	0.0	0.0	0.844
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS04318D03E	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0AFE077D8	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0AE4CF4E7	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR75	O95800	False	GPR75_HUMAN		CPI-SS0DA291AD9	0.0	0.0	0.002	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS073B0CE7A	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS091B461CB	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCR3	P51677	False	CCR3_HUMAN		CPI-SS05B92CCC4	0.0	0.0	0.0	0.0	0.002	0.006	0.0	0.003	0.005	0.0	0.0	0.0
CCR10	P46092	False	CCR10_HUMAN		CPI-SS064C772FE	0.0	0.009	0.001	0.24	0.003	0.165	0.046	0.022	0.0	0.003	0.007	0.003
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0D34B5517	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCR10	P46092	False	CCR10_HUMAN		CPI-SS0B2979A10	0.0	0.009	0.001	0.24	0.003	0.165	0.046	0.022	0.0	0.003	0.007	0.003
CCR1	P32246	False	CCR1_HUMAN		CPI-SS09199F78C	0.0	0.0	0.037	0.008	0.017	0.0	0.052	0.035	0.091	0.0	0.014	0.453
IDE	P14735	False	IDE_HUMAN		CPI-SS0D57FCA8C	0.069	0.03	0.051	0.016	0.044	0.037	0.072	0.036	0.07	0.03	0.028	0.081
CCR1	P32246	False	CCR1_HUMAN		CPI-SS041751A4D	0.0	0.0	0.037	0.008	0.017	0.0	0.052	0.035	0.091	0.0	0.014	0.453
CCR8	P51685	False	CCR8_HUMAN		CPI-SS03188FD02	0.0	0.009	0.0	0.067	0.0	0.174	0.0	0.014	0.005	0.008	0.0	0.01
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0C84DF380	0.0	0.0	0.037	0.008	0.017	0.0	0.052	0.035	0.091	0.0	0.014	0.453
CCR3	P51677	False	CCR3_HUMAN		CPI-SS006C89002	0.0	0.0	0.0	0.0	0.002	0.006	0.0	0.003	0.005	0.0	0.0	0.0
PODXL	O00592	False	PODXL_HUMAN		CPI-SS08920B6FF	0.009	0.0	0.005	0.0	0.003	0.001	0.039	0.0	0.006	0.0	0.027	0.01
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.02	0.0	0.012	0.008	0.013	0.005	0.0	0.009	0.009	0.001	0.013	0.003
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.0	0.0	0.0	0.008	0.0	0.008	0.0	0.001	0.0	0.0	0.0	0.0
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS027AFFC0E	0.04	0.211	0.546	0.706	0.275	0.293	0.403	0.235	0.268	0.175	0.941	1.494
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS0F94547B2	0.04	0.211	0.546	0.706	0.275	0.293	0.403	0.235	0.268	0.175	0.941	1.494
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.009	0.009	0.009	0.026	0.011	0.007	0.032	0.018	0.0	0.005	0.0	0.01
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.0	0.007	0.009	0.0	0.012	0.004	0.0	0.02	0.014	0.003	0.0	0.038
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.016	0.063	0.032	0.029	0.039	0.03	0.018	0.04	0.026	0.047	0.0	0.065
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.016	0.063	0.032	0.029	0.039	0.03	0.018	0.04	0.026	0.047	0.0	0.065
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.019	0.047	0.01	0.072	0.014	0.073	0.0	0.034	0.016	0.017	0.028	0.021
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.0	0.021	0.003	0.023	0.001	0.049	0.0	0.006	0.004	0.039	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.0	0.021	0.003	0.023	0.001	0.049	0.0	0.006	0.004	0.039	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.0	0.021	0.003	0.023	0.001	0.049	0.0	0.006	0.004	0.039	0.0	0.0
VGF	O15240	False	VGF_HUMAN		CPI-SS04C396C5D	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRIN2D	O15399	False	NMDE4_HUMAN		CPI-SS0A915097A	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.007	0.023	0.021	0.004	0.008	0.014	0.012	0.0	0.002	0.0	0.017
CSF1	P09603	False	CSF1_HUMAN		CPI-SS086615F9B	0.0	0.007	0.023	0.021	0.004	0.008	0.014	0.012	0.0	0.002	0.0	0.017
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS04861AD1A	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS0EB3C2743	0.0	0.0	0.01	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.167	0.113	0.142	0.143	0.146	0.137	0.214	0.081	0.154	0.081	0.165	0.142
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.167	0.113	0.142	0.143	0.146	0.137	0.214	0.081	0.154	0.081	0.165	0.142
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0B9DC75DD	0.042	0.052	0.19	0.104	0.184	0.069	0.047	0.162	0.162	0.022	0.157	0.446
CD70	P32970	False	CD70_HUMAN		CPI-SS08A819670	0.22	0.032	0.079	0.133	0.091	0.026	0.191	0.103	0.165	0.006	0.043	0.083
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.03	0.0	0.033	0.022	0.018	0.019	0.03	0.024	0.025	0.02	0.027	0.061
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.005	0.0	0.0
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS03E273233	0.007	0.127	0.087	0.119	0.051	0.106	0.102	0.137	0.119	0.12	0.012	0.108
ADORA3	P0DMS8	False	AA3R_HUMAN		CPI-SS0FF6CFDCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
ADORA2B	P29275	False	AA2BR_HUMAN		CPI-SS079728E8B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.0	0.008	0.0	0.0	0.004	0.001	0.016	0.001	0.011	0.003	0.0	0.0
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.0	0.008	0.0	0.0	0.004	0.001	0.016	0.001	0.011	0.003	0.0	0.0
TG	P01266	False	THYG_HUMAN		CPI-SS01963C4CA	0.008	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	2.164	1.861	1.576	2.125	1.843	2.114	1.889	1.644	1.908	1.08	1.774	1.834
CSF2	P04141	False	CSF2_HUMAN		CPI-SS092E57263	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0
IL13	P35225	False	IL13_HUMAN		CPI-SS0073098F3	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0431D2256	0.008	0.0	0.0	0.011	0.002	0.001	0.0	0.006	0.0	0.0	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS047CD2E9F	0.008	0.0	0.0	0.011	0.002	0.001	0.0	0.006	0.0	0.0	0.0	0.0
CD2	P06729	False	CD2_HUMAN		CPI-SS00B1BEE64	1.76	1.119	1.202	1.339	1.675	1.064	1.435	1.654	2.067	0.909	1.111	1.6
PROS1	P07225	False	PROS_HUMAN		CPI-SS0C85BC9AF	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.004
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.004
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0B01CF3AB	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CD55	P08174	False	DAF_HUMAN		CPI-SS061A7E099	0.067	0.48	0.102	0.217	0.116	0.287	0.19	0.155	0.146	0.48	0.308	0.35
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0CBC7840D	2.627	1.989	2.673	2.063	2.64	1.74	2.409	2.454	2.702	1.888	2.564	2.51
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	2.627	1.989	2.673	2.063	2.64	1.74	2.409	2.454	2.702	1.888	2.564	2.51
CD48	P09326	False	CD48_HUMAN		CPI-SS056FF4363	1.719	2.04	1.805	1.93	1.765	2.067	1.468	1.799	1.845	1.961	1.473	2.012
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS0D954EA1C	0.038	0.0	0.021	0.0	0.021	0.0	0.0	0.0	0.011	0.001	0.036	0.0
ALOX5	P09917	False	LOX5_HUMAN		CPI-SS080611C5B	0.0	0.029	0.0	0.061	0.001	0.038	0.015	0.009	0.0	0.016	0.013	0.009
CD28	P10747	False	CD28_HUMAN		CPI-SS07327E587	0.0	0.136	0.0	0.193	0.006	0.23	0.097	0.182	0.107	0.16	0.0	0.389
CTLA4	P16410	False	CTLA4_HUMAN		CPI-SS0320FFAFC	0.025	0.0	0.0	0.009	0.006	0.011	0.064	0.01	0.027	0.015	0.0	0.0
CD28	P10747	False	CD28_HUMAN		CPI-SS077D7365D	0.0	0.136	0.0	0.193	0.006	0.23	0.097	0.182	0.107	0.16	0.0	0.389
CTLA4	P16410	False	CTLA4_HUMAN		CPI-SS0B0E09B1C	0.025	0.0	0.0	0.009	0.006	0.011	0.064	0.01	0.027	0.015	0.0	0.0
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS03EF699C7	3.343	2.622	3.232	2.771	3.243	2.557	2.563	2.981	3.159	2.671	3.261	3.216
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS0C4FA643F	3.343	2.622	3.232	2.771	3.243	2.557	2.563	2.981	3.159	2.671	3.261	3.216
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS03339363E	3.343	2.622	3.232	2.771	3.243	2.557	2.563	2.981	3.159	2.671	3.261	3.216
SELL	P14151	False	LYAM1_HUMAN		CPI-SS087321EB5	0.067	0.196	0.154	0.736	0.259	1.535	0.697	0.556	0.464	1.732	0.657	0.256
SELP	P16109	False	LYAM3_HUMAN		CPI-SS02B7540B0	0.0	0.0	0.0	0.009	0.0	0.004	0.0	0.005	0.004	0.003	0.0	0.0
SELE	P16581	False	LYAM2_HUMAN		CPI-SS086A1C18B	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SELP	P16109	False	LYAM3_HUMAN		CPI-SS06ABF2F5A	0.0	0.0	0.0	0.009	0.0	0.004	0.0	0.005	0.004	0.003	0.0	0.0
SELE	P16581	False	LYAM2_HUMAN		CPI-SS04F90EE0D	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD99	P14209	False	CD99_HUMAN		CPI-SS01560CA22	2.524	1.566	2.203	1.841	2.116	1.609	2.243	1.872	2.224	0.864	2.016	1.655
SPN	P16150	False	LEUK_HUMAN		CPI-SS02A170A99	0.976	0.452	0.866	0.546	0.921	0.457	0.999	0.524	0.775	0.313	1.038	0.604
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS0E0DEA7D5	0.198	0.164	0.266	0.141	0.253	0.081	0.253	0.261	0.262	0.128	0.195	0.405
C5AR1	P21730	False	C5AR1_HUMAN		CPI-SS01946BE5C	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.003	0.011	0.001	0.0	0.0
TNFSF4	P23510	False	TNFL4_HUMAN		CPI-SS04456F441	0.0	0.0	0.003	0.008	0.001	0.002	0.0	0.001	0.0	0.002	0.0	0.0
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS0C7012011	0.063	0.0	0.061	0.009	0.058	0.0	0.107	0.002	0.0	0.0	0.143	0.0
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	0.422	0.391	0.197	0.269	0.346	0.387	0.452	0.373	0.448	0.349	0.098	0.663
AXL	P30530	False	UFO_HUMAN		CPI-SS0D0252D87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IL15	P40933	False	IL15_HUMAN		CPI-SS077B160B9	0.0	0.013	0.058	0.019	0.037	0.014	0.022	0.045	0.057	0.003	0.013	0.044
AXL	P30530	False	UFO_HUMAN		CPI-SS03A4F7DC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TYRO3	Q06418	False	TYRO3_HUMAN		CPI-SS085195142	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
MERTK	Q12866	False	MERTK_HUMAN		CPI-SS0415CC75D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CD52	P31358	False	CD52_HUMAN		CPI-SS073C1B796	3.167	3.003	1.803	2.976	2.37	2.94	2.363	2.337	2.822	2.649	1.802	2.672
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SS0E5593D5C	0.0	0.0	0.0	0.0	0.001	0.001	0.02	0.0	0.0	0.002	0.0	0.005
LTBR	P36941	False	TNR3_HUMAN		CPI-SS06CBC985C	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.003	0.0	0.001	0.014	0.0
NMU	P48645	False	NMU_HUMAN		CPI-SS018BD4882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017
LILRA4	P59901	False	LIRA4_HUMAN		CPI-SS095DCA7F7	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0
CD47	Q08722	False	CD47_HUMAN		CPI-SS0E9015902	0.834	0.591	0.776	0.62	0.801	0.618	1.062	0.627	0.842	0.486	0.837	0.72
GPR19	Q15760	False	GPR19_HUMAN		CPI-SS07DFEBFA8	0.008	0.0	0.009	0.015	0.003	0.002	0.016	0.002	0.008	0.003	0.0	0.005
