gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical NKT cells	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ exhausted T cells	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.0	0.03	0.016	0.0	0.008	0.009	0.0	0.019	0.006	0.0	0.023	0.0	0.029
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.0	0.0	0.007	0.0	0.004	0.002	0.0	0.005	0.01	0.0	0.004	0.004	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.0	0.0	0.007	0.0	0.004	0.002	0.0	0.005	0.01	0.0	0.004	0.004	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.0	0.03	0.016	0.0	0.008	0.009	0.0	0.019	0.006	0.0	0.023	0.0	0.029
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0CB4F2FE4	0.0	0.03	0.016	0.0	0.008	0.009	0.0	0.019	0.006	0.0	0.023	0.0	0.029
XCL1	P47992	False	XCL1_HUMAN		CPI-SS023ABAE18	0.0	0.269	0.052	0.143	0.015	0.022	0.005	0.049	0.024	0.0	0.016	0.039	0.059
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS05550A895	0.0	0.035	0.0	0.0	0.0	0.029	0.0	0.001	0.0	0.0	0.018	0.0	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS00A6240B6	0.0	0.0	0.026	0.018	0.014	0.01	0.019	0.012	0.011	0.0	0.0	0.0	0.014
WNT1	P04628	False	WNT1_HUMAN		CPI-SS014B0FCD2	0.0	0.0	0.026	0.018	0.014	0.01	0.019	0.012	0.011	0.0	0.0	0.0	0.014
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.0	0.039	0.012	0.161	0.026	0.128	0.031	0.095	0.058	0.0	0.111	0.007	0.085
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.0	0.047	0.035	0.035	0.014	0.018	0.008	0.027	0.01	0.0	0.02	0.011	0.031
TNFRSF10C	O14798	False	TR10C_HUMAN		CPI-SS01ECFDA18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0E0BCE16F	0.0	0.0	0.007	0.014	0.008	0.017	0.012	0.01	0.007	0.0	0.005	0.033	0.005
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	0.0	0.0	0.007	0.014	0.008	0.017	0.012	0.01	0.007	0.0	0.005	0.033	0.005
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS038E93B77	0.0	0.0	0.007	0.014	0.008	0.017	0.012	0.01	0.007	0.0	0.005	0.033	0.005
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0907A7598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0649EA05F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06A0B20BD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.001	0.0	0.0	0.003	0.005	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	0.0	0.0	0.007	0.038	0.008	0.002	0.013	0.007	0.003	0.0	0.008	0.016	0.014
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.0	0.0	0.017	0.015	0.025	0.017	0.023	0.016	0.025	0.0	0.012	0.029	0.005
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.0	0.0	0.014	0.0	0.003	0.002	0.008	0.001	0.005	0.0	0.0	0.026	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0816A4ED4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS00D9A0644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS02E314589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
CD96	P40200	False	TACT_HUMAN		CPI-SS03F821467	0.379	0.722	0.462	0.55	0.535	0.539	0.509	0.603	0.625	0.0	0.497	0.545	0.742
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0CC898553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0658257AC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS098F416C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0EB136379	0.0	0.0	0.026	0.018	0.014	0.01	0.019	0.012	0.011	0.0	0.0	0.0	0.014
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0D8972B21	0.0	0.0	0.026	0.018	0.014	0.01	0.019	0.012	0.011	0.0	0.0	0.0	0.014
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS01469637C	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.003
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.236	0.015	0.031	0.017	0.023	0.007	0.023	0.017	0.019	0.0	0.006	0.04	0.024
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0C0A61F92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS03156A825	0.0	0.139	0.077	0.044	0.053	0.104	0.038	0.055	0.09	0.0	0.16	0.0	0.071
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0859C173B	0.272	0.117	0.176	0.168	0.091	0.09	0.075	0.138	0.086	0.0	0.042	0.124	0.334
LTA	P01374	False	TNFB_HUMAN		CPI-SS0110361CB	0.0	0.139	0.077	0.044	0.053	0.104	0.038	0.055	0.09	0.0	0.16	0.0	0.071
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0C28FEC7D	0.0	0.0	0.004	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.019	0.0	0.004
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS019C98396	0.272	0.117	0.176	0.168	0.091	0.09	0.075	0.138	0.086	0.0	0.042	0.124	0.334
CD160	O95971	False	BY55_HUMAN		CPI-SS0879B8E95	0.0	0.098	0.594	0.022	0.17	0.03	0.132	0.214	0.065	0.0	0.034	0.414	0.225
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	2.11	1.887	1.615	1.796	1.465	2.06	1.908	1.772	1.491	1.7	1.804	1.685	1.876
BTLA	Q7Z6A9	False	BTLA_HUMAN		CPI-SS08330207B	0.294	0.059	0.029	0.049	0.023	0.044	0.033	0.029	0.039	0.0	0.068	0.0	0.018
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS095E52E66	0.0	0.171	0.113	0.253	0.171	0.538	0.292	0.285	0.389	0.0	0.212	0.221	0.28
MIF	P14174	False	MIF_HUMAN		CPI-SS059EEFDC6	2.11	1.887	1.615	1.796	1.465	2.06	1.908	1.772	1.491	1.7	1.804	1.685	1.876
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS0A81A3626	0.0	0.035	0.0	0.0	0.0	0.029	0.0	0.001	0.0	0.0	0.018	0.0	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.001	0.0	0.0	0.003	0.005	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS08C88D297	0.0	0.0	0.0	0.0	0.001	0.0	0.01	0.0	0.0	0.0	0.004	0.0	0.0
ADM	P35318	False	ADML_HUMAN		CPI-SS0522A6CFA	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POMC	P01189	False	COLI_HUMAN		CPI-SS00BD8FF72	0.0	0.059	0.14	0.083	0.093	0.06	0.17	0.083	0.117	0.0	0.099	0.133	0.107
CXCR6	O00574	False	CXCR6_HUMAN		CPI-SS00F282936	0.0	0.016	0.062	0.045	0.054	0.015	0.058	0.235	0.217	0.0	0.003	0.0	0.666
GPR75	O95800	False	GPR75_HUMAN		CPI-SS0DA291AD9	0.0	0.0	0.003	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.006	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS059CC19A3	0.0	0.021	0.025	0.0	0.012	0.002	0.038	0.014	0.043	0.0	0.0	0.03	0.263
CCR3	P51677	False	CCR3_HUMAN		CPI-SS0FA7A69D9	0.0	0.0	0.0	0.0	0.001	0.024	0.0	0.005	0.006	0.0	0.0	0.0	0.004
CCR3	P51677	False	CCR3_HUMAN		CPI-SS05B92CCC4	0.0	0.0	0.0	0.0	0.001	0.024	0.0	0.005	0.006	0.0	0.0	0.0	0.004
CCR10	P46092	False	CCR10_HUMAN		CPI-SS064C772FE	0.0	0.0	0.004	0.023	0.003	0.148	0.003	0.004	0.0	0.0	0.0	0.0	0.0
CCR10	P46092	False	CCR10_HUMAN		CPI-SS0B2979A10	0.0	0.0	0.004	0.023	0.003	0.148	0.003	0.004	0.0	0.0	0.0	0.0	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS09199F78C	0.0	0.021	0.025	0.0	0.012	0.002	0.038	0.014	0.043	0.0	0.0	0.03	0.263
IDE	P14735	False	IDE_HUMAN		CPI-SS0D57FCA8C	0.272	0.05	0.03	0.048	0.05	0.048	0.088	0.056	0.057	0.0	0.017	0.027	0.046
CCR1	P32246	False	CCR1_HUMAN		CPI-SS041751A4D	0.0	0.021	0.025	0.0	0.012	0.002	0.038	0.014	0.043	0.0	0.0	0.03	0.263
CCR8	P51685	False	CCR8_HUMAN		CPI-SS03188FD02	0.0	0.0	0.0	0.0	0.0	0.161	0.003	0.0	0.0	0.0	0.006	0.0	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0C84DF380	0.0	0.021	0.025	0.0	0.012	0.002	0.038	0.014	0.043	0.0	0.0	0.03	0.263
CCR3	P51677	False	CCR3_HUMAN		CPI-SS006C89002	0.0	0.0	0.0	0.0	0.001	0.024	0.0	0.005	0.006	0.0	0.0	0.0	0.004
PODXL	O00592	False	PODXL_HUMAN		CPI-SS08920B6FF	0.0	0.029	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
AVP	P01185	False	NEU2_HUMAN		CPI-SS0C916344D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
OXT	P01178	False	NEU1_HUMAN		CPI-SS04B547174	0.0	0.0	0.0	0.0	0.002	0.006	0.004	0.003	0.0	0.0	0.014	0.005	0.004
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.0	0.0	0.015	0.017	0.003	0.002	0.011	0.0	0.002	0.0	0.004	0.01	0.004
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.0	0.0	0.0	0.0	0.0	0.002	0.005	0.0	0.0	0.0	0.0	0.016	0.0
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS027AFFC0E	0.0	0.225	0.421	0.353	0.175	0.315	0.267	0.149	0.139	0.0	0.141	0.943	1.139
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS0F94547B2	0.0	0.225	0.421	0.353	0.175	0.315	0.267	0.149	0.139	0.0	0.141	0.943	1.139
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.0	0.0	0.006	0.035	0.011	0.012	0.018	0.011	0.019	0.0	0.01	0.023	0.004
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.0	0.0	0.022	0.015	0.007	0.01	0.006	0.036	0.02	0.751	0.0	0.0	0.029
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.0	0.015	0.024	0.033	0.033	0.02	0.025	0.021	0.013	0.0	0.024	0.014	0.005
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.0	0.015	0.024	0.033	0.033	0.02	0.025	0.021	0.013	0.0	0.024	0.014	0.005
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.0	0.14	0.025	0.083	0.009	0.061	0.013	0.05	0.018	0.0	0.01	0.018	0.025
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.0	0.0	0.0	0.0	0.0	0.025	0.004	0.002	0.002	0.0	0.043	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.0	0.0	0.0	0.0	0.0	0.025	0.004	0.002	0.002	0.0	0.043	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.0	0.0	0.0	0.0	0.0	0.025	0.004	0.002	0.002	0.0	0.043	0.0	0.0
VGF	O15240	False	VGF_HUMAN		CPI-SS04C396C5D	0.0	0.0	0.006	0.0	0.003	0.0	0.003	0.003	0.001	0.0	0.0	0.0	0.0
GRIN2D	O15399	False	NMDE4_HUMAN		CPI-SS0A915097A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS086615F9B	0.0	0.0	0.02	0.0	0.005	0.008	0.006	0.01	0.006	0.0	0.003	0.006	0.022
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS04861AD1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TBXA2R	P21731	False	TA2R_HUMAN		CPI-SS042EB8C7A	0.0	0.019	0.004	0.0	0.01	0.002	0.0	0.005	0.012	0.0	0.018	0.005	0.0
PTGIR	P43119	False	PI2R_HUMAN		CPI-SS05D406038	0.0	0.0	0.004	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.604	0.075	0.128	0.129	0.065	0.137	0.038	0.067	0.072	0.0	0.094	0.173	0.136
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.604	0.075	0.128	0.129	0.065	0.137	0.038	0.067	0.072	0.0	0.094	0.173	0.136
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0B9DC75DD	0.272	0.117	0.176	0.168	0.091	0.09	0.075	0.138	0.086	0.0	0.042	0.124	0.334
CD70	P32970	False	CD70_HUMAN		CPI-SS08A819670	0.0	0.07	0.081	0.046	0.111	0.029	0.302	0.095	0.28	0.0	0.019	0.006	0.105
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.0	0.0	0.014	0.015	0.015	0.024	0.022	0.022	0.037	0.0	0.002	0.017	0.034
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS03E273233	0.0	0.103	0.081	0.247	0.061	0.077	0.073	0.115	0.087	0.0	0.128	0.005	0.122
ADORA2B	P29275	False	AA2BR_HUMAN		CPI-SS079728E8B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.0	0.014	0.0	0.0	0.001	0.002	0.005	0.002	0.002	0.0	0.005	0.0	0.014
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.0	0.014	0.0	0.0	0.001	0.002	0.005	0.002	0.002	0.0	0.005	0.0	0.014
TG	P01266	False	THYG_HUMAN		CPI-SS01963C4CA	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	2.332	1.695	1.762	2.102	2.226	2.012	2.432	1.764	2.256	0.0	0.916	1.724	1.707
CSF2	P04141	False	CSF2_HUMAN		CPI-SS092E57263	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0431D2256	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.005
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS047CD2E9F	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.005
CD2	P06729	False	CD2_HUMAN		CPI-SS00B1BEE64	2.231	1.441	1.169	1.7	1.913	1.295	1.677	1.81	2.09	2.043	1.053	0.831	1.607
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0B01CF3AB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD55	P08174	False	DAF_HUMAN		CPI-SS061A7E099	0.615	0.637	0.154	0.361	0.23	0.322	0.384	0.215	0.319	0.0	0.631	0.545	0.471
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0CBC7840D	2.83	2.225	2.724	2.408	2.703	1.996	2.427	2.634	2.705	2.588	2.029	2.761	2.326
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	2.83	2.225	2.724	2.408	2.703	1.996	2.427	2.634	2.705	2.588	2.029	2.761	2.326
CD48	P09326	False	CD48_HUMAN		CPI-SS056FF4363	1.238	1.995	1.593	1.756	1.591	1.87	1.096	1.681	1.613	1.472	1.789	1.509	1.701
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS0D954EA1C	0.0	0.0	0.011	0.0	0.015	0.0	0.004	0.0	0.0	0.0	0.004	0.038	0.0
ALOX5	P09917	False	LOX5_HUMAN		CPI-SS080611C5B	0.0	0.04	0.0	0.0	0.001	0.018	0.004	0.0	0.0	0.0	0.0	0.0	0.006
CD28	P10747	False	CD28_HUMAN		CPI-SS07327E587	0.0	0.081	0.003	0.049	0.009	0.198	0.028	0.197	0.096	0.0	0.15	0.0	0.309
CTLA4	P16410	False	CTLA4_HUMAN		CPI-SS0320FFAFC	0.0	0.0	0.0	0.035	0.03	0.023	0.064	0.019	0.095	0.751	0.018	0.016	0.009
CD28	P10747	False	CD28_HUMAN		CPI-SS077D7365D	0.0	0.081	0.003	0.049	0.009	0.198	0.028	0.197	0.096	0.0	0.15	0.0	0.309
CTLA4	P16410	False	CTLA4_HUMAN		CPI-SS0B0E09B1C	0.0	0.0	0.0	0.035	0.03	0.023	0.064	0.019	0.095	0.751	0.018	0.016	0.009
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS03EF699C7	3.039	2.754	3.08	2.943	3.066	2.547	2.507	2.955	2.85	2.178	2.564	3.156	2.917
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS0C4FA643F	3.039	2.754	3.08	2.943	3.066	2.547	2.507	2.955	2.85	2.178	2.564	3.156	2.917
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS03339363E	3.039	2.754	3.08	2.943	3.066	2.547	2.507	2.955	2.85	2.178	2.564	3.156	2.917
SELL	P14151	False	LYAM1_HUMAN		CPI-SS0EB5AEC83	1.311	0.277	0.308	0.879	0.529	1.516	0.701	0.776	0.992	2.744	1.634	0.949	0.336
SELP	P16109	False	LYAM3_HUMAN		CPI-SS015E1E2C6	0.0	0.0	0.0	0.017	0.0	0.01	0.003	0.0	0.002	0.0	0.004	0.0	0.0
SELL	P14151	False	LYAM1_HUMAN		CPI-SS087321EB5	1.311	0.277	0.308	0.879	0.529	1.516	0.701	0.776	0.992	2.744	1.634	0.949	0.336
SELP	P16109	False	LYAM3_HUMAN		CPI-SS02B7540B0	0.0	0.0	0.0	0.017	0.0	0.01	0.003	0.0	0.002	0.0	0.004	0.0	0.0
SELP	P16109	False	LYAM3_HUMAN		CPI-SS06ABF2F5A	0.0	0.0	0.0	0.017	0.0	0.01	0.003	0.0	0.002	0.0	0.004	0.0	0.0
CD99	P14209	False	CD99_HUMAN		CPI-SS01560CA22	2.76	1.665	2.303	2.112	2.491	1.795	2.638	2.17	2.421	2.178	1.052	2.227	1.959
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS0E0DEA7D5	0.0	0.151	0.27	0.099	0.154	0.102	0.083	0.279	0.124	0.0	0.228	0.111	0.136
C5AR1	P21730	False	C5AR1_HUMAN		CPI-SS01946BE5C	0.0	0.0	0.004	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0
TNFSF4	P23510	False	TNFL4_HUMAN		CPI-SS04456F441	0.0	0.0	0.004	0.0	0.002	0.002	0.0	0.002	0.003	0.0	0.006	0.004	0.0
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS05E63FBEC	0.0	0.012	0.044	0.0	0.02	0.0	0.014	0.001	0.003	0.0	0.0	0.123	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS087BD262F	0.0	0.0	0.073	0.0	0.029	0.004	0.008	0.0	0.001	0.0	0.0	0.337	0.0
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS0C7012011	0.0	0.012	0.044	0.0	0.02	0.0	0.014	0.001	0.003	0.0	0.0	0.123	0.0
MST1	P26927	False	HGFL_HUMAN		CPI-SS03EACE0E0	0.0	0.0	0.008	0.021	0.004	0.005	0.0	0.004	0.003	0.0	0.003	0.013	0.005
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	0.846	0.417	0.299	0.523	0.623	0.269	0.72	0.442	0.639	0.751	0.375	0.181	0.424
IL15	P40933	False	IL15_HUMAN		CPI-SS077B160B9	0.0	0.031	0.043	0.029	0.02	0.008	0.018	0.031	0.012	0.0	0.006	0.065	0.063
TYRO3	Q06418	False	TYRO3_HUMAN		CPI-SS085195142	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0
MERTK	Q12866	False	MERTK_HUMAN		CPI-SS0415CC75D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD52	P31358	False	CD52_HUMAN		CPI-SS073C1B796	3.701	2.97	2.307	3.159	3.088	2.944	3.057	2.568	3.266	0.751	2.5	2.083	2.635
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SS0E5593D5C	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
LTBR	P36941	False	TNR3_HUMAN		CPI-SS06CBC985C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.006	0.025	0.0
NMU	P48645	False	NMU_HUMAN		CPI-SS018BD4882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006
LILRA4	P59901	False	LIRA4_HUMAN		CPI-SS095DCA7F7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS09D5B5F9C	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.009	0.0	0.005
CD47	Q08722	False	CD47_HUMAN		CPI-SS0E9015902	0.572	0.546	0.73	0.604	0.825	0.604	1.059	0.672	0.907	0.751	0.458	0.946	0.621
